SR_NUMBER,USER_ID,SR_TYPE,SR_TYPE_DESC,PRIORITY,GROUP_ID,GROUP_TITLE,GROUP_DESC,DEPT_CODE,DEPT_NAME,DEPT_DIVISION,ADDRESS,LOCATION,NEIGHBORHOOD,ZIPCODE,NEAREST_PARCEL_NO,METHOD_RECEIVED,DATE_CREATED,TIME_RECEIVED,DATE_CLOSED,SR_STATUS,SR_STATUS_FLAG,DATE_STATUS_CHANGE,TIME_STATUS_CHANGE,DATE_LAST_UPDATE,TIME_LAST_UPDATE,PLANNED_HOURS_TOSTART_RESPONSE,PLANNED_RESPONSE_TIME,PLANNED_END_DATE,PLANNED_COMPLETION_DAYS,DATE_DISPATCHED,TIME_DISPATCHED,DATE_REVISED_COMPLETION,DATE_REVISED_COMPLETION_REASON,COLLECTION_SPECIAL_DATE,COLLECTION_DAY,COLLECTION_ROUTE,COLLECTION_DIST,TRANSFER_ALLOW,TRANSFERED_NUM_TIMES,PROPTY_CITY_OWNED_YN,PROPTY_CITY_DEPT_OWNER,STREET_NO,STREET_DIRECTION,STREET_NAME,CITY_ID,STRUCTURE_ID,FLOOR_ID,UNIT_ID,MUNITWNSHP,REQUEST_RETURN_CALL,NUM_BULKY_ITEMS,BULKY_ITEM_1,BULKY_ITEM_2,BULKY_ITEM_3,BULKY_ITEM_4,BULKY_ITEM_5,NUM_TIRES,NUM_FREONS,NUM_SOFABEDS,NUM_POTHOLES,POLICE_DISTRICT,POLICE_RPT_AREA,TRASH_RECYCLE_CART_ID,SEGIDUSNG_XREF,LATITUDE,LONGITUDE,DATE_TIME_RECEIVED,COMMUNITY_COUNCIL_NEIGHBORHOOD,HAM_PAVE_POLYGON_ID
SR26039072,ACOTTERMAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2915 OBSERVATORY AV,PAXTON AV & OBSERVATORY AV - GJ2176835114,HYDE PARK,45208,4300030087,311 CALL,2026 Mar 28 12:00:00 AM,4:49 PM,,NEW,OPEN,2026 Mar 28 12:00:00 AM,4:49 PM,2026 Mar 28 12:00:00 AM,4:49 PM,48,3/30/2026,2026 Mar 31 12:00:00 AM,3,,,,,,,,,Y,0,,,"2,915",,OBSERVATORY AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2176835114,39.13698273,-84.4341463,3/28/2026,HYDE PARK,I-GJ21763511
SR26038541,MOBILE,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,4127 FERGUS ST,"4127 FERGUS ST, CINC -",NORTHSIDE,45223,19600220093,INTERNET,2026 Mar 26 12:00:00 AM,7:10 PM,,DISPATCH,OPEN,2026 Mar 27 12:00:00 AM,10:33 AM,2026 Mar 27 12:00:00 AM,10:33 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,THURSDAY,,,Y,0,,,"4,127",,FERGUS ST,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,,39.16254682,-84.53671215,3/26/2026,NORTHSIDE,S-HAM07288
SR26038419,TJENKINS,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,5940 RIDGE AV,WOODFORD RD & RIDGE AV - GJ2222339994,PLEASANT RIDGE,45213,12600010084,311 CALL,2026 Mar 26 12:00:00 AM,3:18 PM,,DISPATCH,OPEN,2026 Mar 27 12:00:00 AM,9:41 AM,2026 Mar 27 12:00:00 AM,9:41 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,,,,Y,0,,,"5,940",,RIDGE AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2222339994,39.18079832,-84.42729309,3/26/2026,PLEASANT RIDGE,I-GJ22213999
SR26038432,CCSRWEB,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,713 W MEHRING WY,"713 W MEHRING WY, CINC -",QUEENSGATE,45203,13700030070,INTERNET,2026 Mar 26 12:00:00 AM,3:44 PM,2026 Mar 27 12:00:00 AM,CLOSED,CLOSED,2026 Mar 27 12:00:00 AM,9:46 AM,2026 Mar 27 12:00:00 AM,9:46 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,,,,Y,0,,,713,W,MEHRING WY,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,1,2,,,39.09420045,-84.52483727,3/26/2026,QUEENSGATE,S-HAM27545
SR26038376,JWAGONER,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,1537 BEECH AV,1537 BEECH AV - GJ0948633118,WEST PRICE HILL,45205,20400170047,311 CALL,2026 Mar 26 12:00:00 AM,2:09 PM,,DISPATCH,OPEN,2026 Mar 27 12:00:00 AM,9:40 AM,2026 Mar 27 12:00:00 AM,9:40 AM,72,3/29/2026,2026 Sep 22 12:00:00 AM,180,,,,,,MONDAY,MON14,1,Y,0,,,"1,537",,BEECH AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ0948633118,39.12205553,-84.57674469,3/26/2026,WEST PRICE HILL,S-HAM02392
SR26037441,ACOTTERMAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,2516 RITCHIE AV,2516 RITCHIE AV - GJ2040634995,HYDE PARK,45208,4700010044,311 CALL,2026 Mar 24 12:00:00 AM,6:51 PM,,NEW,OPEN,2026 Mar 24 12:00:00 AM,6:51 PM,2026 Mar 24 12:00:00 AM,6:51 PM,48,3/26/2026,2026 Mar 27 12:00:00 AM,3,,,,,,WEDNESDAY,WED05,3,Y,0,,,"2,516",,RITCHIE AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2040634995,39.13625973,-84.44992797,3/24/2026,HYDE PARK,
SR26037196,ACOTTERMAN,ADACONSN,"CONSTRUCTION, SIGNAGE",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,3866 PAXTON AV,3866 PAXTON AV - GJ2244436145,OAKLEY,45209,00390A030003,311 CALL,2026 Mar 24 12:00:00 AM,1:44 PM,2026 Mar 24 12:00:00 AM,CLOSED,CLOSED,2026 Mar 24 12:00:00 AM,3:21 PM,2026 Mar 24 12:00:00 AM,3:21 PM,72,3/27/2026,2026 Sep 20 12:00:00 AM,180,,,,,,,,,Y,0,,,"3,866",,PAXTON AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2244436145,39.14609332,-84.42599252,3/24/2026,OAKLEY,
SR26035451,JWAGONER,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,5927 BELMONT AV,5927 BELMONT AV - GJ1097941665,COLLEGE HILL,45224,22900050049,311 CALL,2026 Mar 20 12:00:00 AM,11:28 AM,,NEW,OPEN,2026 Mar 20 12:00:00 AM,11:28 AM,2026 Mar 20 12:00:00 AM,11:28 AM,48,3/22/2026,2026 Mar 23 12:00:00 AM,3,,,,,,THURSDAY,THU24,1,Y,0,,,"5,927",,BELMONT AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,GJ1097941665,39.19864694,-84.55682552,3/20/2026,COLLEGE HILL,
SR26035484,JWAGONER,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,156 DAHLIA AV,156 DAHLIA AV - FJ9918332635,SAYLER PARK,45233,16600020076,311 CALL,2026 Mar 20 12:00:00 AM,11:51 AM,,NEW,OPEN,2026 Mar 20 12:00:00 AM,11:51 AM,2026 Mar 20 12:00:00 AM,11:51 AM,48,3/22/2026,2026 Mar 23 12:00:00 AM,3,,,,,,MONDAY,MON02,3,Y,0,,,156,,DAHLIA AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,3,98,,FJ9918332635,39.12012428,-84.69596941,3/20/2026,SAYLER PARK,
SR26036429,ACOTTERMAN,CNSTRCTN,"CONSTRUCTION, STATUS",STANDARD,131,DT-CNSTRCTNMNGMNT,DOTE-CONSTRUCTION MANAGEMENT,DOTE,DEPT OF TRANS AND ENG,DOTE-ENGINEERING,6728 LE CONTE AV,LE CONTE AV & BURSAL AV - GJ2715528685,MT. WASHINGTON,45230,200070035,311 CALL,2026 Mar 23 12:00:00 AM,11:18 AM,,NEW,OPEN,2026 Mar 23 12:00:00 AM,11:18 AM,2026 Mar 23 12:00:00 AM,11:18 AM,48,3/25/2026,2026 Mar 26 12:00:00 AM,3,,,,,,,,,Y,0,Y,DOTE,"6,728",,LE CONTE AV,CINC,,,,CINCINNATI,,0,,,,,,0,0,0,0,2,97,,GJ2715528685,39.07773099,-84.37403319,3/23/2026,MOUNT WASHINGTON,I-GJ27152868
